sensor,building,room,display_name
ESPd1231f,1,013,ESPd1231f
ESP14b23c,1,020,ESP14b23c
ESPbce6d3,1,022,ESPbce6d3
ESPc51b80,1,106,ESPc51b80
ESP6cf63c,1,206,ESP6cf63c
ESPd17771,1,208,ESPd17771
ESPfc9c37,1,211,ESPfc9c37
ESPd10542,1,222,ESPd10542
ESP7ce794,1,225,ESP7ce794
ESPcfe46b,2,Bib EG (1),ESPcfe46b
ESPd123f2,2,Bib 1. Stock (2),ESPd123f2
ESPd141a0,2,Bib 2. Stock (3),ESPd141a0
ESP7b23ae,2,011,ESP7b23ae
ESPd15693,2,201,ESPd15693
ESPd12a7f,2,264,ESPd12a7f
ESPcfd0b0,2,329,ESPcfd0b0
ESP6cef78,3,101,ESP6cef78
ESP6d6d02,3,111,ESP6d6d02
ESPd10735,3,124,ESPd10735
ESP14afa1,3,201,ESP14afa1
ESP3cfef1,3,203,ESP3cfef1
ESP8628b7,3,211,ESP8628b7
ESP14b466,3,212,ESP14b466
ESP14afcb,3,215,ESP14afcb
ESP0202db,3,223,ESP0202db
ESP14b429,3,224,ESP14b429
ESPd100cd,3,324,ESPd100cd
ESP6dfdab,3,307,ESP6dfdab
ESP6d691f,3,114,ESP6d691f
ESPc5222e,1,014,ESPc5222e
ESP6e3233,1,306,ESP6e3233
ESP7afe2a,1,311,ESP7afe2a
ESP6d7fd4,3,115,ESP6d7fd4
ESP7cb36e,1,220,ESP7cb36e
ESPcfdffe,1,210,ESPcfdffe
ESP7ce98d,1,309,ESP7ce98d
