sensor,building,room,display_name
HOBO_28,1,009,HOBO_28
HOBO_06,1,018,HOBO_06
HOBO_08,1,024,HOBO_08
HOBO_37,1,207,HOBO_37
HOBO_21,1,226,HOBO_21
HOBO_02,1,307,HOBO_02
HOBO_10,1,326,HOBO_10
HOBO_03,1,333,HOBO_03
HOBO_19,2,018,HOBO_19
HOBO_43,2,048,HOBO_43
HOBO_30,2,444,HOBO_30
HOBO_15,2,481,HOBO_15
HOBO_12,2,540,HOBO_12
HOBO_44,2,545,HOBO_44
HOBO_01,3,005,HOBO_01
HOBO_34,3,013,HOBO_34
HOBO_20,3,122,HOBO_20
HOBO_07,3,210,HOBO_07
HOBO_18,3,217,HOBO_18
HOBO_45,3,221,HOBO_45
HOBO_11,3,311A,HOBO_11
HOBO_42,3,317,HOBO_42
HOBO_26,5,051,HOBO_26
HOBO_39,5,096,HOBO_39
HOBO_05,5,282,HOBO_05
HOBO_31,5,282,HOBO_31
HOBO_16,5,298,HOBO_16
